"sw_level1_name","component_count","avg_change_rate","turnover_delta_sum","avg_interval_return","avg_resonance_score","weighted_contribution_sum","strong_count","risk_count","sector_score"
"电子","108","-0.0432927112222463","2361464229.73","0.00244311349771081","0.0412336891028022","-1.18926412786901","4","6","4.22412555628633"
"医药生物","95","0.0120499586526131","858229981.64","0.000561357596874573","0.00873433592624967","0.0356967104370254","7","9","2.62261732159456"
"传媒","38","0.0185401862544774","362868106.01","0.000548532226085158","0.00958990730481595","0.0418454224613268","7","4","1.94715886626302"
"纺织服饰","9","0.010464474601028","24393279.12","0.00132713654772673","0.0191808090649818","0.00302999907488931","0","0","1.48302971432322"
"钢铁","8","-0.00269027241619385","20568823","0.00205843572911404","0.0310222579620223","-0.00118997505036822","0","0","1.36541000835258"
"建筑材料","4","-0.00287531107058495","16260408","0.00184985598921666","0.0285409895878253","-0.0109719007311313","0","0","1.11340571817574"
"商贸零售","20","0.0208859279401444","99071830.16","0.000116890791523388","0.00233700379641711","0.0246339858455204","3","2","1.04294866084623"
"计算机","63","0.0107421996153754","432065771.75","-5.13443012008759E-05","-0.000531996967846712","0.0150438757833381","5","9","0.900942466185936"
"汽车","52","-0.00116720479933122","257654892.06","0.000978207838325271","0.0152406693377678","-0.0264815649821206","0","4","0.814981328298496"
"社会服务","10","0.00718968758087268","41182618.9","0.000756788922009327","0.0116932609639408","0.000367418149131417","0","0","0.665784649448243"
"通信","27","-0.00178531958191176","474303367.939999","0.000271863350529117","0.00446621288457223","-0.0698548198909568","4","2","0.48131055862847"
"农林牧渔","15","0.00737196294918825","86893378.11","0.000407426288718674","0.00649642952819292","0.00612192643181582","0","1","0.396695159511729"
"机械设备","74","-0.0241150948251823","874626984.51","0.000775859986158214","0.0129997750295144","-0.339232273976233","4","6","0.383718848820847"
"家用电器","10","-0.0162192124244253","61170837.3200001","0.0018264029917289","0.0277214698166445","-0.0159425857582151","0","1","0.261677656900305"
"电力设备","82","-0.0204876201844782","725925327.43","0.000671863586852011","0.0116811314412003","-0.359085007504739","1","13","0.187394315480092"
"食品饮料","21","0.0125288666570037","111901739.09","-0.000171879501068615","-0.00159049125914517","0.00690902233746485","0","2","0.173637400164185"
"基础化工","66","-0.0195823920602148","453540115.75","0.00101289116485204","0.0163566041066378","-0.184461369015924","0","2","0.0139510970842953"
"有色金属","51","-0.0238867541677391","553312334.659999","0.000982663974406186","0.0161825548642778","-0.255222799339392","1","2","-0.0942566224204852"
"未映射","47","-0.0188336645055231","279821472.14","0.00106607332406787","0.0163635451058227","-0.114574274160679","2","3","-0.265541061865099"
"非银金融","14","-0.00429546286352092","81118255.2","0.000468684748243179","0.00673638186784363","-0.0034201967165414","1","2","-0.359190179893524"
"国防军工","32","-0.0160290103860241","252702122.59","0.000632675662788666","0.00978681127772468","-0.0764927628750354","0","4","-0.608464725936446"
"轻工制造","8","0.00933154688828985","20968431.25","-0.000584511822431245","-0.00847214021768541","0.000533212717522473","0","2","-0.706548740422539"
"环保","17","-0.0111757448503454","70402865.11","0.000589196849836892","0.00933975908481214","-0.0263788526430033","1","2","-0.728502408936518"
"房地产","13","0.00194361961693445","237119610.39","-0.000624360458688727","-0.00876188472544638","-0.00312062704807223","1","5","-0.778225161941004"
"美容护理","6","-0.00265874350013458","10211483.96","-0.000257005019102284","-0.00383513117896237","-4.79163241411453E-05","0","1","-1.2031138256782"
"公用事业","34","-0.0156359968238607","301361002.55","-0.000133933750579513","-0.00274897853990897","-0.0713884942673908","0","5","-1.31535684330366"
"石油石化","3","-0.0100141463777827","6254075","0","0","-0.00162396694214876","0","0","-1.44008162982447"
"建筑装饰","22","-0.0085990169173689","124437445.54","-0.000404879824509494","-0.00566319599389389","-0.0713689734702533","0","3","-1.52192506723658"
"综合","2","-0.00568065247569336","12941820.56","-0.0003628362297364","-0.0040714853303043","-0.00205325212025291","0","0","-1.52329549194999"
"煤炭","11","-0.0264294712990364","42406591.02","0.000350664675910405","0.00510358626889374","-0.0170197587321372","0","1","-2.11317918821517"
"交通运输","25","-0.00734225456942728","77743048.8600001","-0.0011486972643511","-0.0163767503274498","-0.0143514374005251","0","9","-2.35782385845476"
"银行","13","-0.00359669533776605","30719049.59","-0.00193039114556692","-0.0279579454131224","-0.00381706763190441","0","6","-3.06328452028583"
